Cijena,Kilometraza,Zapremina_motora,Snaga_motora,Registrovan,Godina,Brand_enc,Model_enc,Tip_enc,Gorivo_enc
43000.0,135251.0,3.6,209.0,0,2015.0,21,335,4,0
27000.0,320000.0,3.0,165.0,1,2007.0,30,581,3,1
29500.0,189732.0,1.5,96.0,0,2019.0,33,341,10,1
9500.0,290000.0,1.6,77.0,1,2011.0,48,425,4,1
73900.0,40376.0,2.0,180.0,1,2021.0,45,328,4,0
15990.0,224000.0,1.2,77.0,0,2014.0,48,425,4,0
12900.0,242000.0,2.0,103.0,0,2010.0,39,280,4,1
7500.0,250333.0,2.5,103.0,1,2005.0,22,518,4,1
26900.0,259000.0,2.2,150.0,0,2011.0,30,321,12,1
6100.0,230000.0,2.4,125.0,1,2002.0,1,101,2,0
23300.0,237713.0,2.0,103.0,1,2015.0,48,612,0,1
11500.0,340000.0,2.5,130.0,1,2005.0,2,65,4,1
37000.0,240339.0,3.0,160.0,0,2015.0,1,101,2,1
13000.0,222000.0,1.6,84.0,1,2011.0,6,171,3,1
22500.0,206000.0,1.6,81.0,1,2015.0,48,425,2,1
4500.0,317000.0,1.9,81.0,1,2007.0,36,510,4,1
12500.0,169000.0,2.3,110.0,1,2009.0,41,107,12,4
44500.0,297750.0,3.0,150.0,1,2015.0,45,555,12,1
3800.0,333300.0,2.0,100.0,1,2005.0,6,171,2,1
8500.0,235806.0,1.6,68.0,0,2011.0,34,32,2,1
13900.0,333333.0,2.0,127.0,1,2011.0,36,381,4,1
33500.0,330000.0,2.0,125.0,1,2011.0,45,119,9,1
42000.0,186000.0,3.0,180.0,1,2012.0,1,103,4,1
21000.0,310000.0,2.2,150.0,1,2012.0,34,61,4,1
8500.0,255000.0,1.2,55.0,0,2011.0,48,285,2,1
5500.0,300000.0,2.2,86.0,1,2001.0,30,147,4,1
12600.0,191000.0,1.6,88.0,0,2011.0,6,166,4,0
54900.0,174000.0,2.0,140.0,0,2017.0,46,600,12,1
20800.0,203546.0,1.6,77.0,1,2013.0,45,441,4,1
12000.0,250000.0,2.5,85.0,0,2000.0,21,212,4,1
10000.0,262000.0,1.8,85.0,0,2010.0,31,378,4,1
32500.0,171000.0,1.7,118.0,0,2019.0,36,542,4,1
10900.0,400000.0,4.4,210.0,0,2000.0,2,596,4,4
23960.0,370000.0,2.2,125.0,0,2009.0,30,320,10,1
4100.0,230000.0,1.7,74.0,1,2005.0,33,407,4,1
109860.0,21000.0,2.0,143.0,0,2021.0,30,261,4,1
69900.0,181497.0,3.0,221.0,1,2016.0,25,475,10,1
9450.0,256000.0,1.6,66.0,0,2009.0,34,32,2,1
11500.0,205000.0,1.6,85.0,0,2013.0,14,291,2,1
25500.0,110000.0,1.2,81.0,0,2018.0,6,161,5,0
30000.0,169000.0,1.6,85.0,0,2017.0,30,146,2,1
13400.0,230000.0,2.0,103.0,0,2006.0,45,276,4,1
19500.0,110329.0,1.3,68.0,0,2017.0,13,552,4,1
17950.0,245000.0,1.6,77.0,0,2012.0,45,441,4,1
19000.0,311000.0,3.0,176.0,1,2008.0,1,100,4,1
39999.0,76900.0,2.0,110.0,1,2018.0,32,382,4,2
10499.0,174500.0,1.4,88.0,0,2011.0,33,407,5,0
18500.0,250.0,2.0,85.0,1,2012.0,2,5,10,1
14800.0,197000.0,1.3,55.0,0,2013.0,13,438,4,1
18700.0,240000.0,1.6,81.0,1,2014.0,45,328,4,1
17500.0,234000.0,1.6,82.0,0,2012.0,6,248,4,1
64900.0,171954.0,2.0,140.0,1,2018.0,2,63,4,1
19700.0,248000.0,2.2,145.0,1,2010.0,22,518,12,1
