Brand,Model,Cijena,Kilometraza,Zapremina_motora,Snaga_motora,Tip,Registrovan,Godina,Gorivo
Peugeot,308,21990.0,162560.0,2.0,110.0,Limuzina,false,2016.0,Dizel
Volkswagen,Passat,40990.0,84976.0,2.0,110.0,Limuzina,false,2019.0,Dizel
Volkswagen,Passat,39990.0,133684.0,2.0,110.0,Limuzina,false,2017.0,Dizel
Land Rover,Range Rover Evoque,52900.0,126521.0,2.0,110.0,,true,2018.0,Dizel
Ford,Focus,8950.0,264000.0,1.6,80.0,Karavan,true,2009.0,Dizel
Peugeot,308,21200.0,169000.0,1.6,73.0,Karavan,0,2017.0,Dizel
BMW,116,33000.0,140000.0,1.6,85.0,Limuzina,true,2018.0,Dizel
Volkswagen,Golf,18900.0,255154.0,1.6,77.0,Karavan,false,2014.0,Dizel
Škoda,Fabia,2150.0,270000.0,1.2,40.0,Limuzina,0,2006.0,Benzin
Mercedes-Benz,E 220,14500.0,296000.0,2.2,100.0,Limuzina,true,2006.0,Dizel
Renault,Clio,10900.0,238095.0,1.2,75.0,Kabriolet,true,2011.0,Benzin
Audi,Unknown,33500.0,188000.0,3.0,175.0,SUV,false,2012.0,Dizel
Mercedes-Benz,CLC 200,12500.0,247000.0,2.2,90.0,,true,2008.0,Dizel
Volkswagen,Passat CC,31900.0,219282.0,2.0,110.0,Limuzina,true,2016.0,Dizel
Peugeot,407,10700.0,192000.0,1.4,50.0,Malo auto,true,2013.0,Dizel
BMW,X1,26000.0,252000.0,2.0,105.0,Terenac,0,2014.0,Dizel
Alfa Romeo,GT,7500.0,333000.0,1.9,110.0,Sportski/kupe,true,2005.0,Dizel
Škoda,Superb,23000.0,215000.0,1.6,77.0,Limuzina,true,2016.0,Dizel
Volkswagen,Passat,30900.0,265808.0,2.0,110.0,Limuzina,false,2014.0,Dizel
Audi,A4,79900.0,18876.0,2.0,120.0,,0,2021.0,Dizel
BMW,X3,54900.0,165375.0,2.0,140.0,SUV,true,2017.0,Dizel
BMW,520,25000.0,255.0,2.0,135.0,Limuzina,true,2010.0,Dizel
Škoda,Octavia,12500.0,312000.0,1.6,77.0,,0,2010.0,Dizel
Land Rover,Freelander,10500.0,335000.0,2.0,80.0,,true,2004.0,Dizel
Volkswagen,Passat,6700.0,354000.0,1.9,96.0,,true,2002.0,Dizel
Volkswagen,Buba / Beetle,23999.0,150000.0,1.6,77.0,Limuzina,0,2013.0,Dizel
Nissan,Terrano,11000.0,260000.0,2.7,92.0,,true,2004.0,Dizel
Citroen,C5,8900.0,254800.0,2.0,103.0,,true,2009.0,Dizel
Citroen,GSA,5200.0,170390.0,1.3,40.0,Oldtimer,0,1982.0,Benzin
Volkswagen,Golf Plus,8500.0,330000.0,1.9,77.0,,true,2006.0,Dizel
Škoda,Octavia,24900.0,184.0,1.6,85.0,Karavan,false,2018.0,Dizel
Honda,Civic,39900.0,50123.0,1.0,93.0,Sportski/kupe,true,2018.0,Benzin
Jeep,Grand Cherokee,35900.0,271000.0,3.0,177.0,SUV,true,2012.0,Dizel
Mercedes-Benz,A 220,35950.0,215000.0,2.2,130.0,Malo auto,false,2015.0,Dizel
Land Rover,Discovery,41900.0,104493.0,2.0,132.0,SUV,true,2015.0,Dizel
Volkswagen,Touareg,16900.0,279639.0,2.5,130.0,Terenac,true,2009.0,Dizel
Audi,A5,25900.0,183956.0,1.8,155.0,Sportski/kupe,true,2013.0,Benzin
Volkswagen,Passat,30900.0,212052.0,2.0,110.0,Karavan,true,2017.0,Dizel
Mercedes-Benz,CLS 350,46500.0,111000.0,3.0,195.0,Karavan,true,2014.0,Dizel
Volkswagen,Golf,7000.0,305000.0,1.9,66.0,Limuzina,true,2004.0,Dizel
Land Rover,Range Rover,89950.0,55250.0,3.0,183.0,Terenac,false,2016.0,Dizel
Volkswagen,Passat,39500.0,193000.0,2.0,140.0,Limuzina,true,2016.0,Dizel
Škoda,Octavia,13950.0,249000.0,2.0,103.0,Karavan,0,2012.0,Dizel
Audi,Q5,26700.0,219000.0,2.0,105.0,SUV,true,2012.0,Dizel
Land Rover,Range Rover,100000.0,170000.0,4.4,256.0,SUV,true,2016.0,Dizel
Ford,Taurus,6900.0,174000.0,3.0,150.0,Limuzina,true,2005.0,Benzin
Mercedes-Benz,E 320,10500.0,325000.0,3.2,165.0,Limuzina,true,2003.0,Dizel
Hyundai,i30 Fastback N,55000.0,90000.0,2.0,202.0,Sportski/kupe,true,2019.0,Benzin
Opel,Astra,10500.0,226000.0,2.0,110.0,Limuzina,true,2005.0,Benzin
Toyota,Yaris,93200.0,5.0,1.6,192.0,,0,2022.0,Benzin
